date_time,category,account,amount,currency,tags
2025-09-21,Second work,acct_2,34.0,BYN,tag_5
2025-09-21,Job,acct_1,77.0,BYN,tag_4
2025-09-21,Second work,acct_1,88.0,BYN,2th_work
2025-09-20,Job,acct_1,50.0,BYN,tag_2
2025-09-20,Job,acct_1,16.0,BYN,tag_1
2025-09-17,Job,acct_1,28.0,BYN,tag_1
2025-09-15,Second work,acct_2,279.0,BYN,2th_work
2025-09-14,Second work,acct_1,15.0,BYN,tag_5
2025-09-14,Job,acct_1,76.0,BYN,tag_7
2025-09-13,Job,acct_1,39.0,BYN,tag_1
2025-09-13,Job,acct_1,39.0,BYN,tag_2
2025-09-13,Job,acct_1,46.0,BYN,tag_3
2025-09-12,Second work,acct_1,83.0,BYN,tag_5
2025-09-11,Second work,acct_1,8.0,BYN,tag_5
2025-09-11,Debt return / Borrowed money,acct_1,223.0,BYN,tag_5
2025-09-11,Gift,acct_3,28.0,BYN,tag_5
2025-09-09,Second work,acct_1,85.0,BYN,2th_work
2025-09-09,Job,acct_1,13.0,BYN,tag_1
2025-09-07,Job,acct_1,64.0,BYN,tag_6
2025-09-06,Job,acct_1,34.0,BYN,tag_2
2025-09-06,Job,acct_1,36.0,BYN,tag_1
2025-09-06,Job,acct_1,36.0,BYN,tag_3
2025-09-06,Second work,acct_1,47.0,BYN,tag_5
2025-09-06,Job,acct_1,20.0,BYN,tag_1
2025-09-01,Second work,acct_1,246.0,BYN,2th_work
2025-08-30,Second work,acct_1,102.0,BYN,2th_work
2025-08-30,Gift,acct_1,10.0,BYN,tag_5
2025-08-29,Job,acct_2,22.0,BYN,tag_8
2025-08-28,Second work,acct_2,52.0,BYN,tag_5
2025-08-28,Job,acct_1,250.0,BYN,2th_work
2025-08-27,Job,acct_2,50.0,BYN,tag_8
2025-08-26,Job,acct_1,31.0,BYN,tag_2
2025-08-26,Job,acct_1,18.0,BYN,tag_1
2025-08-25,Job,acct_1,38.0,BYN,tag_8
2025-08-25,Job,acct_1,29.0,BYN,tag_3
2025-08-22,Second work,acct_1,167.0,BYN,2th_work
2025-08-22,Job,acct_1,43.0,BYN,tag_1
2025-08-22,Job,acct_1,11.0,BYN,tag_2
2025-08-22,Job,acct_2,43.0,BYN,tag_8
2025-08-21,Gift,acct_1,7.0,BYN,tag_5
2025-08-20,Job,acct_2,27.0,BYN,tag_8
2025-08-20,Job,acct_1,28.0,BYN,tag_1
2025-08-18,Job,acct_1,53.0,BYN,tag_3
2025-08-18,Deposit interest,acct_4,58.0,BYN,tag_5
2025-08-16,Second work,acct_1,308.0,BYN,2th_work
2025-08-15,Job,acct_1,19.0,BYN,tag_8
2025-08-15,Job,acct_1,50.0,BYN,tag_1
2025-08-15,Job,acct_1,18.0,BYN,tag_2
2025-08-14,Second work,acct_1,65.0,BYN,2th_work
2025-08-14,Second work,acct_1,224.0,BYN,2th_work
2025-08-13,Job,acct_1,29.0,BYN,tag_8
2025-08-12,Job,acct_1,42.0,BYN,tag_1
2025-08-11,Job,acct_1,18.0,BYN,tag_8
2025-08-10,Debt return / Borrowed money,acct_1,50.0,BYN,tag_5
2025-08-08,Job,acct_1,26.0,BYN,tag_2
2025-08-08,Job,acct_1,43.0,BYN,tag_1
2025-08-05,Job,acct_1,15.0,BYN,tag_1
2025-08-04,Job,acct_1,36.0,BYN,tag_8
2025-08-04,Job,acct_1,13.0,BYN,tag_3
2025-08-03,Second work,acct_1,117.0,BYN,2th_work
2025-08-02,Second work,acct_1,161.0,BYN,2th_work
2025-08-01,Job,acct_1,36.0,BYN,tag_2
2025-08-01,Job,acct_1,49.0,BYN,tag_8
2025-07-30,Job,acct_1,49.0,BYN,tag_8
2025-07-29,Cashback,acct_2,59.0,BYN,tag_5
2025-07-27,Second work,acct_1,73.0,BYN,2th_work
2025-07-22,Job,acct_1,28.0,BYN,tag_1
2025-07-21,Job,acct_1,22.0,BYN,tag_5
2025-07-21,Job,acct_1,24.0,BYN,tag_8
2025-07-20,Second work,acct_1,36.0,BYN,2th_work
2025-07-19,Second work,acct_1,76.0,BYN,2th_work
2025-07-18,Job,acct_1,22.0,BYN,tag_1
2025-07-18,Job,acct_1,17.0,BYN,tag_2
2025-07-16,Job,acct_1,30.0,BYN,tag_1
2025-07-16,Second work,acct_1,55.0,BYN,2th_work
2025-07-15,Job,acct_1,49.0,BYN,tag_8
2025-07-11,Job,acct_1,28.0,BYN,tag_2
2025-07-10,Second work,acct_1,108.0,BYN,2th_work
2025-07-09,Job,acct_2,43.0,BYN,tag_8
2025-07-07,Job,acct_2,36.0,BYN,tag_8
2025-07-07,Debt return / Borrowed money,acct_2,8.0,BYN,tag_5
2025-07-06,Second work,acct_1,6.0,BYN,tag_5
2025-07-06,Second work,acct_1,322.0,BYN,2th_work
2025-07-04,Job,acct_1,47.0,BYN,tag_8
2025-07-04,Gift,acct_1,21.0,BYN,tag_5
2025-07-02,Job,acct_1,28.0,BYN,tag_8
2025-07-02,Job,acct_1,30.0,BYN,tag_2
2025-07-02,Job,acct_1,25.0,BYN,tag_1
2025-07-01,Second work,acct_1,276.0,BYN,2th_work
2025-07-01,Second work,acct_1,266.0,BYN,2th_work
2025-06-30,Job,acct_1,41.0,BYN,tag_8
2025-06-30,Job,acct_1,31.0,BYN,tag_1
2025-06-30,Job,acct_1,44.0,BYN,tag_8
2025-06-27,Job,acct_1,43.0,BYN,tag_8
2025-06-27,Job,acct_1,33.0,BYN,tag_2
2025-06-27,Job,acct_1,21.0,BYN,tag_1
2025-06-26,Second work,acct_1,137.0,BYN,2th_work
2025-06-25,Job,acct_1,13.0,BYN,tag_8
2025-06-25,Job,acct_1,25.0,BYN,tag_1
2025-06-23,Job,acct_1,35.0,BYN,tag_3
2025-06-22,Gift,acct_1,8.0,BYN,tag_5
2025-06-20,Job,acct_1,33.0,BYN,tag_8
2025-06-20,Job,acct_1,12.0,BYN,tag_2
2025-06-20,Job,acct_1,14.0,BYN,tag_1
2025-06-19,Debt return / Borrowed money,acct_1,32.0,BYN,tag_5
2025-06-19,Job,acct_1,19.0,BYN,tag_6
2025-06-18,Job,acct_1,45.0,BYN,tag_8
2025-06-17,Second work,acct_1,277.0,BYN,2th_work
2025-06-17,Job,acct_1,27.0,BYN,tag_6
2025-06-17,Job,acct_1,16.0,BYN,tag_1
2025-06-16,Job,acct_1,39.0,BYN,tag_3
2025-06-15,Second work,acct_1,148.0,BYN,2th_work
2025-06-13,Job,acct_1,25.0,BYN,tag_8
2025-06-13,Job,acct_1,17.0,BYN,tag_2
2025-06-13,Job,acct_1,39.0,BYN,tag_1
2025-06-12,Job,acct_1,135.0,BYN,2th_work
2025-06-12,Job,acct_1,38.0,BYN,tag_6
2025-06-11,Job,acct_1,50.0,BYN,tag_8
2025-06-10,Job,acct_1,49.0,BYN,tag_6
2025-06-10,Job,acct_1,12.0,BYN,tag_1
2025-06-09,Job,acct_1,57.0,BYN,2th_work
2025-06-09,Second work,acct_1,60.0,BYN,2th_work
2025-06-09,Job,acct_1,20.0,BYN,tag_3
2025-06-07,Job,acct_1,274.0,BYN,2th_work
2025-06-06,Job,acct_1,24.0,BYN,tag_2
2025-06-06,Job,acct_1,49.0,BYN,tag_1
2025-06-05,Job,acct_1,55.0,BYN,tag_6
2025-06-03,Job,acct_1,31.0,BYN,tag_1
2025-06-03,Job,acct_1,49.0,BYN,tag_6
2025-06-02,Job,acct_1,48.0,BYN,tag_3
2025-06-02,Gift,acct_1,102.0,BYN,tag_5
2025-05-31,Job,acct_1,36.0,BYN,2th_work
2025-05-26,Job,acct_1,17.0,BYN,tag_5
2025-05-26,Job,acct_1,59.0,BYN,tag_5
2025-05-25,Gift,acct_2,17.0,BYN,tag_5
2025-05-23,Job,acct_2,56.0,BYN,tag_5
2025-05-22,Second work,acct_1,102.0,BYN,2th_work
2025-05-21,Job,acct_1,20.0,BYN,tag_5
2025-05-20,Job,acct_1,10.0,BYN,tag_5
2025-05-19,Job,acct_1,15.0,BYN,tag_5
2025-05-16,Job,acct_1,83.0,BYN,tag_5
2025-05-16,Cashback,acct_1,24.0,BYN,tag_5
2025-05-15,Second work,acct_1,193.0,BYN,2th_work
2025-05-14,Cashback,acct_1,16.0,BYN,tag_5
2025-05-13,Job,acct_1,8.0,BYN,tag_5
2025-05-09,Other,acct_1,908.0,BYN,tag_5
2025-05-08,Job,acct_1,47.0,BYN,tag_5
2025-05-07,Job,acct_1,22.0,BYN,tag_5
2025-05-06,Cashback,acct_1,2.0,BYN,tag_5
2025-05-06,Job,acct_1,17.0,BYN,tag_5
2025-05-06,Job,acct_1,24.0,BYN,tag_5
2025-05-03,Gift,acct_2,78.0,BYN,tag_5
2025-05-02,Cashback,acct_3,5.0,BYN,tag_5
2025-05-01,Job,acct_1,15.0,BYN,tag_5
2025-04-30,Job,acct_1,42.0,BYN,tag_5
2025-04-26,Second work,acct_1,43.0,BYN,2th_work
2025-04-25,Job,acct_1,20.0,BYN,tag_5
2025-04-25,Second work,acct_1,115.0,BYN,2th_work
2025-04-23,Job,acct_1,79.0,BYN,tag_5
2025-04-22,Job,acct_1,22.0,BYN,tag_5
2025-04-21,Job,acct_1,24.0,BYN,tag_5
2025-04-18,Job,acct_1,67.0,BYN,tag_5
2025-04-16,Second work,acct_1,182.0,BYN,2th_work
2025-04-16,Job,acct_1,19.0,BYN,tag_5
2025-04-15,Job,acct_1,13.0,BYN,tag_5
2025-04-14,Job,acct_1,39.0,BYN,tag_5
2025-04-14,Job,acct_1,13.0,BYN,tag_5
2025-04-09,Job,acct_1,16.0,BYN,tag_5
2025-04-08,Gift,acct_2,6.0,BYN,tag_5
2025-04-08,Job,acct_1,59.0,BYN,tag_5
2025-04-08,Job,acct_1,19.0,BYN,tag_5
2025-04-08,Second work,acct_1,178.0,BYN,2th_work
2025-04-07,Job,acct_1,97.0,BYN,tag_5
2025-04-07,Job,acct_1,14.0,BYN,tag_5
2025-04-07,Debt return / Borrowed money,acct_1,243.0,BYN,tag_5
2025-04-02,Second work,acct_1,81.0,BYN,2th_work
2025-04-02,Job,acct_1,20.0,BYN,tag_5
2025-04-01,Job,acct_1,12.0,BYN,tag_5
2025-03-31,Job,acct_1,86.0,BYN,tag_5
2025-03-31,Job,acct_1,81.0,BYN,tag_5
2025-03-31,Other,acct_1,4.0,BYN,tag_5
2025-03-28,Job,acct_1,24.0,BYN,tag_5
2025-03-28,Job,acct_1,36.0,BYN,tag_5
2025-03-28,Gift,acct_1,6.0,BYN,tag_5
2025-03-28,Other,acct_1,28.0,BYN,tag_5
2025-03-26,Gift,acct_1,20.0,BYN,tag_5
2025-03-24,Second work,acct_1,460.0,BYN,2th_work
2025-03-23,Second work,acct_1,72.0,BYN,2th_work
2025-03-23,Second work,acct_1,320.0,BYN,2th_work
2025-03-21,Debt return / Borrowed money,acct_1,460.0,BYN,tag_5
2025-03-21,Debt return / Borrowed money,acct_3,3.0,BYN,tag_5
2025-03-19,Gift,acct_1,3.0,BYN,tag_5
2025-03-18,Job,acct_1,13.0,BYN,tag_5
2025-03-18,Other,acct_1,25.0,BYN,tag_5
2025-03-17,Job,acct_1,73.0,BYN,tag_5
2025-03-16,Cashback,acct_2,7.0,BYN,tag_5
2025-03-15,Other,acct_1,14.0,BYN,tag_5
2025-03-14,Other,acct_1,53.0,BYN,tag_5
2025-03-13,Job,acct_1,41.0,BYN,tag_5
2025-03-11,Job,acct_1,28.0,BYN,tag_5
2025-03-10,Job,acct_1,164.0,BYN,tag_5
2025-03-10,Job,acct_1,44.0,BYN,tag_5
2025-03-09,Other,acct_2,146.0,BYN,tag_5
2025-03-07,Job,acct_1,45.0,BYN,tag_5
2025-03-06,Job,acct_1,40.0,BYN,tag_5
2025-03-05,Debt return / Borrowed money,acct_1,304.0,BYN,tag_5
2025-03-05,Job,acct_1,32.0,BYN,tag_5
2025-03-04,Job,acct_1,24.0,BYN,tag_5
2025-03-03,Other,acct_1,417.0,BYN,tag_5
2025-03-03,Job,acct_1,37.0,BYN,tag_5
2025-02-28,Second work,acct_1,230.0,BYN,2th_work
2025-02-28,Job,acct_1,28.0,BYN,tag_5
2025-02-27,Job,acct_1,40.0,BYN,tag_5
2025-02-25,Job,acct_1,16.0,BYN,tag_5
2025-02-25,Gift,acct_3,13.0,BYN,tag_5
2025-02-24,Other,acct_1,53.0,BYN,tag_5
2025-02-24,Job,acct_1,55.0,BYN,tag_5
2025-02-24,Job,acct_1,35.0,BYN,tag_5
2025-02-21,Job,acct_1,272.0,BYN,2th_work
2025-02-21,Job,acct_1,42.0,BYN,tag_5
2025-02-21,Gift,acct_1,69.0,BYN,tag_5
2025-02-20,Job,acct_1,40.0,BYN,tag_5
2025-02-19,Job,acct_1,51.0,BYN,tag_5
2025-02-17,Job,acct_1,28.0,BYN,tag_5
2025-02-17,Job,acct_1,23.0,BYN,tag_5
2025-02-14,Job,acct_1,50.0,BYN,tag_5
2025-02-14,Other,acct_3,2.0,BYN,tag_5
2025-02-13,Job,acct_1,17.0,BYN,tag_5
2025-02-12,Job,acct_1,30.0,BYN,tag_5
2025-02-11,Job,acct_1,12.0,BYN,tag_5
2025-02-10,Job,acct_1,38.0,BYN,tag_5
2025-02-07,Job,acct_1,53.0,BYN,tag_5
2025-02-07,Other,acct_1,5.0,BYN,tag_5
2025-02-06,Other,acct_1,36.0,BYN,tag_5
2025-02-06,Job,acct_1,36.0,BYN,tag_5
2025-02-05,Job,acct_1,73.0,BYN,tag_5
2025-02-05,Job,acct_1,28.0,BYN,tag_5
2025-02-04,Job,acct_1,35.0,BYN,tag_5
2025-02-04,Job,acct_1,33.0,BYN,tag_5
2025-02-03,Job,acct_1,11.0,BYN,tag_5
2025-02-03,Job,acct_1,32.0,BYN,tag_5
2025-02-02,Gift,acct_1,35.0,BYN,tag_5
2025-02-01,Other,acct_1,56.0,BYN,tag_5
2025-01-31,Job,acct_1,28.0,BYN,tag_5
2025-01-30,Other,acct_1,72.0,BYN,tag_5
2025-01-30,Second work,acct_1,208.0,BYN,2th_work
2025-01-28,Job,acct_5,31.0,BYN,tag_5
2025-01-27,Job,acct_5,43.0,BYN,tag_5
2025-01-27,Job,acct_5,31.0,BYN,tag_5
2025-01-25,Other,acct_1,172.0,BYN,tag_5
2025-01-24,Cashback,acct_1,2.0,BYN,tag_5
2025-01-24,Job,acct_5,22.0,BYN,tag_5
2025-01-24,Other,acct_1,145.0,BYN,tag_5
2025-01-23,Job,acct_5,44.0,BYN,tag_5
2025-01-21,Job,acct_1,36.0,BYN,tag_5
2025-01-20,Job,acct_1,39.0,BYN,tag_5
2025-01-20,Job,acct_1,36.0,BYN,tag_5
2025-01-18,Other,acct_1,30.0,BYN,tag_5
2025-01-17,Job,acct_1,51.0,BYN,tag_5
2025-01-16,Job,acct_1,32.0,BYN,tag_5
2025-01-15,Second work,acct_1,89.0,BYN,2th_work
2025-01-15,Job,acct_1,14.0,BYN,tag_5
2025-01-15,Job,acct_1,36.0,BYN,tag_5
2025-01-13,Job,acct_1,36.0,BYN,tag_5
2025-01-11,Other,acct_1,68.0,BYN,tag_5
2025-01-11,Cashback,acct_1,4.0,BYN,tag_5
2025-01-10,Cashback,acct_2,41.0,BYN,tag_5
2025-01-10,Other,acct_2,27.0,BYN,tag_5
2025-01-10,Other,acct_1,74.0,BYN,tag_5
2025-01-09,Other,acct_2,213.0,BYN,tag_5
2025-01-09,Job,acct_1,16.0,BYN,tag_5
2025-01-07,Cashback,acct_1,7.0,BYN,tag_5
2025-01-05,Second work,acct_1,78.0,BYN,2th_work
2025-01-04,Gift,acct_1,51.0,BYN,tag_5
2025-01-04,Gift,acct_1,77.0,BYN,tag_5
2025-01-03,Job,acct_1,36.0,BYN,tag_5
