Date,Description,Amount,Category,PaymentMethod,Location,AccountType,TransactionType,DeviceUsed,Currency,MerchantType,LoyaltyProgram,Weekday,Month,TimeOfDay
2025-05-03,Transaction at IRCTC,11324.06,Travell_err,Credit Card,Delhi,Credit Card,Debit,Desktop,INR,Service,Yes,Saturday,May,Evening
2025-06-27,Transaction at Ajio,6989.5,Online Shopping,Credit Card,Kolkata,Salary,Debit,Desktop,INR,Online Store,No,Friday,June,Morning
2025-12-27,Transaction at Nilgiris,1436.49,Grocerie$,Net Banking,Bangalore,Savings,Debit,Desktop,INR,Retail,Yes,Saturday,December,Morning
2025-11-10,Transaction at Nykaa,16470.71,Online Shopping,UPI,Bangalore,Savings,Debit,POS Terminal,INR,Online Store,No,Monday,November,Morning
2025-05-21,Transaction at Dominos,851.8,Food,Debit Card,Mumbai,Credit Card,Debit,Desktop,INR,Restaurant,No,Wednesday,May,Evening
2025-03-08,Transaction at AirAsia,20599.36,Travell_err,Debit Card,Mumbai,Salary,Debit,Mobile,INR,Service,No,Saturday,March,Evening
2025-11-30,Transaction at KFC,1260.41,Food,Credit Card,Bangalore,Savings,Debit,POS Terminal,INR,Restaurant,Yes,Sunday,November,Evening
2025-08-25,Transaction at Netflix,828.75,Entertainment,Net Banking,Kolkata,Current,Debit,Mobile,INR,Subscription,Yes,Monday,August,Morning
2025-05-29,Transaction at Apple Store,131786.69,Electronics,Net Banking,Pune,Current,Debit,Mobile,INR,Retail,No,Thursday,May,Evening
2025-02-06,Transaction at Spotify,177.44,Entertainment,Net Banking,Hyderabad,Current,Debit,Mobile,INR,Subscription,Yes,Thursday,February,Morning
2025-03-09,Transaction at Water Board,2367.05,,Net Banking,Bangalore,Current,Debit,Mobile,INR,Service,Yes,Sunday,March,Night
2025-02-27,Transaction at Vodafone Idea,4047.44,Biills,Net Banking,Chennai,Savings,Debit,Desktop,INR,Service,Yes,Thursday,February,Morning
2025-05-20,Transaction at Zara,7133.34,Clothing,UPI,Chennai,Credit Card,Debit,POS Terminal,INR,Retail,No,Tuesday,May,Evening
2025-12-27,Transaction at Ajio,6351.17,Online Shopping,Debit Card,Kolkata,Salary,Debit,Mobile,INR,Online Store,Yes,Saturday,December,Afternoon
2025-05-20,Transaction at Boat Lifestyle,128424.24,Electronics,Debit Card,Chennai,Savings,Debit,POS Terminal,INR,Retail,No,Tuesday,May,Evening
2025-02-08,Transaction at Aster,17253.66,Healthcare,Net Banking,Delhi,Credit Card,Debit,POS Terminal,INR,Service,No,Saturday,February,Morning
2025-09-23,Transaction at OnePlus,134214.53,Electronics,UPI,Pune,Credit Card,Debit,Desktop,INR,Retail,No,Tuesday,September,Morning
2025-09-25,Transaction at Adidas,7195.3,Clothing,Debit Card,Hyderabad,Salary,Debit,Desktop,INR,Retail,No,Thursday,September,Night
2025-03-27,Transaction at CloudNine,18022.92,Healthcare,Debit Card,Bangalore,Savings,Debit,Desktop,INR,Service,No,Thursday,March,Morning
2025-02-06,Transaction at Taco Bell,1158.63,Food,Credit Card,Kolkata,Credit Card,Debit,Mobile,INR,Restaurant,Yes,Thursday,February,Afternoon
2025-05-26,Transaction at Metro Rail,982.63,Transport,UPI,Kolkata,Savings,Debit,Mobile,INR,Service,No,Monday,May,Night
2025-10-04,Transaction at JioMart,552.08,Grocerie$,Credit Card,Hyderabad,Savings,Debit,Mobile,INR,Retail,No,Saturday,October,Afternoon
2025-05-07,Transaction at Zara,7654.25,Clothing,Net Banking,Kolkata,Current,Debit,Desktop,INR,Retail,No,Wednesday,May,Night
2025-04-10,Transaction at Apple Store,111005.98,Electronics,UPI,Delhi,Credit Card,Debit,Desktop,INR,Retail,Yes,Thursday,April,Morning
2025-05-27,Transaction at Barbeque Nation,610.2,Food,UPI,Chennai,Credit Card,Debit,Mobile,INR,Restaurant,Yes,Tuesday,May,Morning
2025-11-03,Transaction at BigBazaar,2051.12,Grocerie$,Debit Card,Mumbai,Savings,Debit,POS Terminal,INR,Retail,Yes,Monday,November,Evening
2025-02-25,Transaction at Rapido,601.33,Transport,UPI,Mumbai,Current,Debit,Desktop,INR,Service,No,Tuesday,February,Afternoon
2025-12-13,Transaction at Hotstar,850.41,Entertainment,UPI,Kolkata,Current,Debit,Mobile,INR,Subscription,No,Saturday,December,Afternoon
2025-10-05,Transaction at Snapdeal,17659.33,,Debit Card,Delhi,Credit Card,Debit,Mobile,INR,Online Store,Yes,Sunday,October,Afternoon
2025-06-20,Transaction at Allen Solly,6845.1,,Debit Card,Mumbai,Salary,Debit,Desktop,INR,Retail,No,Friday,June,Night
2025-01-22,Transaction at 1mg,10543.34,Healthcare,Credit Card,Delhi,Current,Debit,Desktop,INR,Service,No,Wednesday,January,Evening
2025-09-16,Transaction at Biba,1592.02,Clothing,Net Banking,Delhi,Salary,Debit,Desktop,INR,Retail,Yes,Tuesday,September,Evening
2025-08-03,Transaction at Ola,1456.02,Transport,Net Banking,Pune,Current,Debit,Desktop,INR,Service,Yes,Sunday,August,Evening
2025-05-11,Transaction at Asus Store,39285.05,Electronics,Credit Card,Mumbai,Savings,Debit,Mobile,INR,Retail,No,Sunday,May,Afternoon
2025-11-30,Transaction at PharmEasy,14997.81,Healthcare,UPI,Kolkata,Salary,Debit,Mobile,INR,Service,No,Sunday,November,Night
2025-05-27,Transaction at Airtel,5491.42,Biills,UPI,Hyderabad,Current,Debit,Desktop,INR,Service,No,Tuesday,May,Morning
2025-10-17,Transaction at Hotstar,271.2,Entertainment,UPI,Pune,Savings,Debit,POS Terminal,INR,Subscription,Yes,Friday,October,Evening
2025-06-21,Transaction at IndiGo,18720.15,Travell_err,Net Banking,Kolkata,Salary,Debit,Desktop,INR,Service,Yes,Saturday,June,Morning
2025-12-14,Transaction at Apollo Pharmacy,15857.73,Healthcare,Debit Card,Hyderabad,Current,Debit,Mobile,INR,Service,No,Sunday,December,Morning
2025-10-02,Transaction at A2B,606.98,Food,UPI,Delhi,Credit Card,Debit,Desktop,INR,Restaurant,Yes,Thursday,October,Morning
2025-06-01,Transaction at Taco Bell,866.89,Food,Net Banking,Pune,Salary,Debit,Desktop,INR,Restaurant,No,Sunday,June,Night
2025-09-24,Transaction at Uber,930.7,Transport,Net Banking,Bangalore,Current,Debit,Desktop,INR,Service,Yes,Wednesday,September,Night
2025-06-12,Transaction at IndiGo,19578.06,Travell_err,Credit Card,Kolkata,Savings,Debit,Mobile,INR,Service,Yes,Thursday,June,Afternoon
2025-05-27,Transaction at Croma,102800.65,Electronics,UPI,Mumbai,Savings,Debit,POS Terminal,INR,Retail,No,Tuesday,May,Morning
2025-05-15,Transaction at US Polo,7247.1,Clothing,Credit Card,Mumbai,Salary,Debit,POS Terminal,INR,Retail,No,Thursday,May,Night
2025-04-29,Transaction at DMart,1809.33,Grocerie$,UPI,Kolkata,Savings,Debit,POS Terminal,INR,Retail,Yes,Tuesday,April,Night
2025-11-24,Transaction at Ajio,3187.72,Online Shopping,Credit Card,Delhi,Current,Debit,POS Terminal,INR,Online Store,Yes,Monday,November,Morning
2025-11-03,Transaction at Biba,4245.61,Clothing,Net Banking,Mumbai,Salary,Debit,Desktop,INR,Retail,No,Monday,November,Morning
2025-05-08,Transaction at Nykaa,16580.74,Online Shopping,Credit Card,Bangalore,Salary,Debit,POS Terminal,INR,Online Store,No,Thursday,May,Morning
2025-11-28,Transaction at IRCTC,24587.69,Travell_err,Debit Card,Chennai,Savings,Debit,Mobile,INR,Service,No,Friday,November,Morning
2025-02-15,Transaction at Goibibo,18246.21,Travell_err,Credit Card,Chennai,Credit Card,Debit,POS Terminal,INR,Service,No,Saturday,February,Night
2025-05-16,Transaction at Croma,114729.44,Electronics,UPI,Chennai,Savings,Debit,Mobile,INR,Retail,No,Friday,May,Afternoon
2025-12-24,Transaction at Aster,2573.77,Healthcare,Net Banking,Bangalore,Current,Debit,Desktop,INR,Service,Yes,Wednesday,December,Afternoon
2025-11-03,Transaction at Ajio,12783.42,Online Shopping,UPI,Delhi,Salary,Debit,POS Terminal,INR,Online Store,No,Monday,November,Night
2025-05-11,Transaction at Netmeds,,Healthcare,Net Banking,Bangalore,Savings,Debit,POS Terminal,INR,Service,Yes,Sunday,May,Evening
2025-01-04,Transaction at Jio Fiber,1317.31,Biills,Credit Card,Chennai,Salary,Debit,Desktop,INR,Service,Yes,Saturday,January,Evening
2025-01-06,Transaction at AirAsia,18249.98,Travell_err,UPI,Hyderabad,Current,Debit,Mobile,INR,Service,Yes,Monday,January,Morning
2025-05-28,Transaction at SonyLiv,180.09,Entertainment,Debit Card,Kolkata,Credit Card,Debit,POS Terminal,INR,Subscription,Yes,Wednesday,May,Afternoon
2025-12-23,Transaction at Snapdeal,3790.59,Online Shopping,Credit Card,Kolkata,Savings,Debit,Desktop,INR,Online Store,Yes,Tuesday,December,Afternoon
2025-09-09,Transaction at Amazon,7246.88,Online Shopping,Credit Card,Bangalore,Current,Debit,POS Terminal,INR,Online Store,Yes,Tuesday,September,Afternoon
2025-05-12,Transaction at Boat Lifestyle,81586.75,Electronics,Debit Card,Delhi,Credit Card,Debit,Mobile,INR,Retail,Yes,Monday,May,Afternoon
2025-09-03,Transaction at Wrogn,3214.92,Clothing,Credit Card,Pune,Salary,Debit,Mobile,INR,Retail,No,Wednesday,September,Morning
2025-01-28,Transaction at Uber,288.69,Transport,Net Banking,Hyderabad,Salary,Debit,Mobile,INR,Service,Yes,Tuesday,January,Evening
2025-07-09,Transaction at Apollo Hospital,14951.4,Healthcare,Debit Card,Chennai,Current,Debit,Desktop,INR,Service,Yes,Wednesday,July,Morning
2025-06-03,Transaction at BigBazaar,3397.54,Grocerie$,Credit Card,Mumbai,Credit Card,Debit,Mobile,INR,Retail,Yes,Tuesday,June,Evening
2025-07-08,Transaction at Nilgiris,1139.88,Grocerie$,UPI,Mumbai,Current,Debit,Mobile,INR,Retail,No,Tuesday,July,Evening
2025-08-03,Transaction at Gaana,342.63,Entertainment,Net Banking,Chennai,Current,Debit,Mobile,INR,Subscription,Yes,Sunday,August,Evening
2025-08-15,Transaction at TSRTC,892.7,Transport,Credit Card,Bangalore,Salary,Debit,Desktop,INR,Service,No,Friday,August,Night
2025-06-12,Transaction at Gaana,968.55,Entertainment,Net Banking,Pune,Savings,Debit,POS Terminal,INR,Subscription,Yes,Thursday,June,Evening
2025-01-10,Transaction at Max Fashion,4490.07,Clothing,Net Banking,Delhi,Savings,Debit,POS Terminal,INR,Retail,No,Friday,January,Evening
2025-07-15,Transaction at Pizza Hut,1157.6,Food,UPI,Pune,Credit Card,Debit,Mobile,INR,Restaurant,No,Tuesday,July,Afternoon
2025-12-07,Transaction at 1mg,8764.35,Healthcare,Credit Card,Chennai,Credit Card,Debit,POS Terminal,INR,Service,Yes,Sunday,December,Morning
2025-01-26,Transaction at BMTC,1547.07,Transport,Net Banking,Hyderabad,Salary,Debit,Mobile,INR,Service,Yes,Sunday,January,Morning
2025-08-28,Transaction at Ajio,8146.38,Online Shopping,Net Banking,Pune,Savings,Debit,POS Terminal,INR,Online Store,No,Thursday,August,Morning
2025-02-05,Transaction at Meru Cabs,1920.03,Transport,Credit Card,Hyderabad,Salary,Debit,Mobile,INR,Service,Yes,Wednesday,February,Morning
2025-10-06,Transaction at Max Fashion,1721.41,Clothing,Credit Card,Kolkata,Current,Debit,POS Terminal,INR,Retail,No,Monday,October,Evening
2025-05-29,Transaction at Aster,14813.92,Healthcare,UPI,Pune,Current,Debit,Desktop,INR,Service,Yes,Thursday,May,Evening
2025-05-05,Transaction at ACT Fibernet,319.22,Biills,Debit Card,Mumbai,Credit Card,Debit,Mobile,INR,Service,Yes,Monday,May,Afternoon
2025-04-27,Transaction at Water Board,2338.4,Biills,UPI,Pune,Savings,Debit,Mobile,INR,Service,No,Sunday,April,Evening
2025-09-02,Transaction at Vivo Store,61980.42,Electronics,Credit Card,Delhi,Credit Card,Debit,POS Terminal,INR,Retail,Yes,Tuesday,September,Evening
2025-02-23,Transaction at Ola,822.4,Transport,Debit Card,Mumbai,Salary,Debit,Mobile,INR,Service,No,Sunday,February,Night
2025-02-26,Transaction at YouTube Premium,184.47,Entertainment,Net Banking,Pune,Current,Debit,Desktop,INR,Subscription,Yes,Wednesday,February,Evening
2025-10-08,Transaction at Aster,4255.27,Healthcare,Net Banking,Hyderabad,Credit Card,Debit,Desktop,INR,Service,No,Wednesday,October,Morning
2025-11-14,Transaction at Pizza Hut,565.33,Food,UPI,Chennai,Savings,Debit,POS Terminal,INR,Restaurant,No,Friday,November,Morning
2025-11-04,Transaction at BSNL,448.88,Biills,UPI,Delhi,Salary,Debit,Desktop,INR,Service,Yes,Tuesday,November,Afternoon
2025-02-17,Transaction at Apollo Pharmacy,18445.07,Healthcare,Net Banking,Chennai,Salary,Debit,Desktop,INR,Service,No,Monday,February,Afternoon
2025-03-28,Transaction at Water Board,4260.5,Biills,Net Banking,Kolkata,Salary,Debit,Mobile,INR,Service,Yes,Friday,March,Afternoon
2025-04-16,Transaction at Chai Point,589.68,Food,Net Banking,Chennai,Credit Card,Debit,POS Terminal,INR,Restaurant,No,Wednesday,April,Night
2025-07-01,Transaction at Booking.com,27712.34,Travell_err,Debit Card,Kolkata,Salary,Debit,Desktop,INR,Service,No,Tuesday,July,Evening
2025-06-23,Transaction at Nykaa,13376.26,Online Shopping,UPI,Mumbai,Salary,Debit,Desktop,INR,Online Store,No,Monday,June,Evening
2025-03-17,Transaction at 1mg,1134.99,Healthcare,UPI,Chennai,Credit Card,Debit,Mobile,INR,Service,Yes,Monday,March,Afternoon
2025-11-25,Transaction at CloudNine,12384.61,Healthcare,Credit Card,Chennai,Current,Debit,Mobile,INR,Service,Yes,Tuesday,November,Afternoon
2025-11-08,Transaction at Pantaloons,6929.7,,UPI,Hyderabad,Current,Debit,Mobile,INR,Retail,Yes,Saturday,November,Evening
2025-11-26,Transaction at Reliance Digital,130642.49,Electronics,UPI,Kolkata,Credit Card,Debit,POS Terminal,INR,Retail,No,Wednesday,November,Morning
2025-06-25,Transaction at Apple Store,79777.72,Electronics,Net Banking,Chennai,Credit Card,Debit,Desktop,INR,Retail,Yes,Wednesday,June,Afternoon
2025-11-30,Transaction at MedPlus,3370.27,Healthcare,Net Banking,Mumbai,Credit Card,Debit,POS Terminal,INR,Service,No,Sunday,November,Morning
2025-12-05,Transaction at Zee5,337.71,Entertainment,Credit Card,Bangalore,Current,Debit,Desktop,INR,Subscription,No,Friday,December,Night
2025-07-12,Transaction at Ajio,4838.78,Online Shopping,Net Banking,Chennai,Salary,Debit,POS Terminal,INR,Online Store,No,Saturday,July,Morning
2025-06-07,Transaction at AirAsia,5198.69,,UPI,Chennai,Credit Card,Debit,Mobile,INR,Service,No,Saturday,June,Night
2025-06-11,Transaction at Aha,837.72,Entertainment,Net Banking,Mumbai,Salary,Debit,Mobile,INR,Subscription,Yes,Wednesday,June,Night
2025-05-18,Transaction at Vivo Store,77283.47,Electronics,UPI,Delhi,Credit Card,Debit,Desktop,INR,Retail,Yes,Sunday,May,Night
2025-04-28,Transaction at Asus Store,11685.73,Electronics,UPI,Chennai,Current,Debit,POS Terminal,INR,Retail,Yes,Monday,April,Evening
2025-10-21,Transaction at TSRTC,1439.75,Transport,UPI,Kolkata,Credit Card,Debit,POS Terminal,INR,Service,No,Tuesday,October,Evening
2025-08-05,Transaction at Uber,1973.48,Transport,Net Banking,Chennai,Savings,Debit,Mobile,INR,Service,No,Tuesday,August,Afternoon
2025-10-06,Transaction at Nike,4371.85,Clothing,Net Banking,Delhi,Credit Card,Debit,Mobile,INR,Retail,Yes,Monday,October,Evening
2025-03-02,Transaction at MedPlus,1402.49,Healthcare,UPI,Bangalore,Credit Card,Debit,Mobile,INR,Service,Yes,Sunday,March,Night
2025-10-28,Transaction at A2B,1243.48,Food,Credit Card,Bangalore,Salary,Debit,POS Terminal,INR,Restaurant,Yes,Tuesday,October,Morning
2025-04-13,Transaction at Noise,113889.04,Electronics,Credit Card,Hyderabad,Current,Debit,POS Terminal,INR,Retail,No,Sunday,April,Morning
2025-06-20,Transaction at Ola,1257.63,Transport,UPI,Hyderabad,Credit Card,Debit,Desktop,INR,Service,No,Friday,June,Evening
2025-01-30,Transaction at Zee5,933.54,Entertainment,Net Banking,Chennai,Salary,Debit,Desktop,INR,Subscription,No,Thursday,January,Night
2025-02-08,Transaction at Starbucks,651.61,Food,Net Banking,Chennai,Current,Debit,Desktop,INR,Restaurant,No,Saturday,February,Night
2025-08-09,Transaction at Fortis,10637.38,Healthcare,Debit Card,Pune,Credit Card,Debit,Mobile,INR,Service,No,Saturday,August,Morning
2025-03-07,Transaction at Reliance Digital,18244.44,Electronics,Debit Card,Delhi,Current,Debit,Desktop,INR,Retail,No,Friday,March,Morning
2025-08-18,Transaction at Ola,1887.66,Transport,UPI,Delhi,Credit Card,Debit,Mobile,INR,Service,Yes,Monday,August,Night
2025-12-15,Transaction at SonyLiv,145.96,Entertainment,Debit Card,Hyderabad,Credit Card,Debit,Mobile,INR,Subscription,No,Monday,December,Night
2025-03-31,Transaction at Booking.com,12967.17,Travell_err,Net Banking,Pune,Credit Card,Debit,Desktop,INR,Service,Yes,Monday,March,Morning
2025-06-29,Transaction at Sony Center,62817.88,Electronics,UPI,Hyderabad,Credit Card,Debit,Desktop,INR,Retail,Yes,Sunday,June,Evening
2025-07-29,Transaction at Biba,4148.95,Clothing,Debit Card,Bangalore,Current,Debit,Mobile,INR,Retail,Yes,Tuesday,July,Evening
2025-04-30,Transaction at JioMart,2506.42,Grocerie$,UPI,Bangalore,Credit Card,Debit,POS Terminal,INR,Retail,Yes,Wednesday,April,Evening
2025-11-15,Transaction at Rapido,228.04,Transport,UPI,Pune,Current,Debit,Mobile,INR,Service,No,Saturday,November,Morning
2025-11-03,Transaction at Amazon,,Online Shopping,Net Banking,Mumbai,Credit Card,Debit,Mobile,INR,Online Store,Yes,Monday,November,Evening
2025-02-06,Transaction at CCD,623.51,Food,Net Banking,Hyderabad,Savings,Debit,POS Terminal,INR,Restaurant,No,Thursday,February,Morning
2025-07-25,Transaction at AirAsia,9974.99,,UPI,Hyderabad,Current,Debit,Desktop,INR,Service,No,Friday,July,Night
2025-08-30,Transaction at Reliance Fresh,1624.5,Grocerie$,Debit Card,Mumbai,Current,Debit,Desktop,INR,Retail,No,Saturday,August,Morning
2025-10-11,Transaction at Pepperfry,14948.76,Online Shopping,UPI,Hyderabad,Credit Card,Debit,Desktop,INR,Online Store,No,Saturday,October,Evening
2025-11-04,Transaction at SonyLiv,685.67,Entertainment,Net Banking,Chennai,Salary,Debit,POS Terminal,INR,Subscription,No,Tuesday,November,Afternoon
2025-03-06,Transaction at Reliance Digital,91984.49,Electronics,Debit Card,Kolkata,Credit Card,Debit,Mobile,INR,Retail,No,Thursday,March,Night
2025-05-06,Transaction at Spencers,4302.88,Grocerie$,Debit Card,Hyderabad,Salary,Debit,Mobile,INR,Retail,Yes,Tuesday,May,Night
2025-07-05,Transaction at Ajio,16992.09,Online Shopping,UPI,Kolkata,Savings,Debit,Desktop,INR,Online Store,No,Saturday,July,Afternoon
2025-06-20,Transaction at PharmEasy,15524.65,Healthcare,UPI,Kolkata,Current,Debit,POS Terminal,INR,Service,Yes,Friday,June,Night
2025-08-27,Transaction at Air India,27984.0,Travell_err,Credit Card,Kolkata,Current,Debit,Mobile,INR,Service,Yes,Wednesday,August,Afternoon
2025-08-25,Transaction at RedBus,,Transport,UPI,Delhi,Savings,Debit,Mobile,INR,Service,Yes,Monday,August,Night
2025-02-06,Transaction at Subway,1429.47,Food,Debit Card,Kolkata,Current,Debit,POS Terminal,INR,Restaurant,Yes,Thursday,February,Night
2025-09-08,Transaction at IndiGo,7841.59,Travell_err,Net Banking,Bangalore,Savings,Debit,POS Terminal,INR,Service,Yes,Monday,September,Evening
2025-12-13,Transaction at Woodland,7711.86,Clothing,Net Banking,Bangalore,Salary,Debit,POS Terminal,INR,Retail,Yes,Saturday,December,Afternoon
2025-05-06,Transaction at Ola,1376.98,Transport,Credit Card,Delhi,Credit Card,Debit,Mobile,INR,Service,No,Tuesday,May,Afternoon
2025-02-04,Transaction at A2B,563.71,Food,Credit Card,Kolkata,Salary,Debit,Desktop,INR,Restaurant,No,Tuesday,February,Morning
2025-11-02,Transaction at HP World,9965.75,Electronics,UPI,Bangalore,Salary,Debit,Mobile,INR,Retail,No,Sunday,November,Afternoon
2025-02-16,Transaction at Lenskart,2429.44,Online Shopping,Net Banking,Delhi,Current,Debit,Desktop,INR,Online Store,No,Sunday,February,Evening
2025-12-29,Transaction at IndiGo,19630.5,Travell_err,Credit Card,Hyderabad,Salary,Debit,Mobile,INR,Service,Yes,Monday,December,Morning
2025-06-25,Transaction at Cream Stone,832.44,Food,Debit Card,Pune,Salary,Debit,Mobile,INR,Restaurant,Yes,Wednesday,June,Night
2025-09-02,Transaction at RedBus,792.61,Transport,Net Banking,Kolkata,Credit Card,Debit,Mobile,INR,Service,Yes,Tuesday,September,Morning
2025-12-22,Transaction at Amazon,17765.64,Online Shopping,Debit Card,Delhi,Salary,Debit,POS Terminal,INR,Online Store,Yes,Monday,December,Night
2025-07-30,Transaction at Gaana,660.53,Entertainment,Net Banking,Mumbai,Credit Card,Debit,POS Terminal,INR,Subscription,Yes,Wednesday,July,Evening
2025-12-24,Transaction at Paradise Biryani,194.1,Food,Credit Card,Hyderabad,Credit Card,Debit,Mobile,INR,Restaurant,No,Wednesday,December,Morning
2025-06-08,Transaction at Allen Solly,6496.52,Clothing,UPI,Chennai,Salary,Debit,Desktop,INR,Retail,Yes,Sunday,June,Evening
2025-12-08,Transaction at Zee5,669.09,Entertainment,UPI,Kolkata,Savings,Debit,Desktop,INR,Subscription,Yes,Monday,December,Morning
2025-04-12,Transaction at Taco Bell,126.15,Food,UPI,Kolkata,Credit Card,Debit,Desktop,INR,Restaurant,Yes,Saturday,April,Afternoon
2025-02-22,Transaction at IndiGo,2297.18,Travell_err,UPI,Pune,Savings,Debit,POS Terminal,INR,Service,No,Saturday,February,Night
2025-03-02,Transaction at US Polo,7251.49,Clothing,Credit Card,Bangalore,Salary,Debit,Mobile,INR,Retail,No,Sunday,March,Afternoon
2025-09-29,Transaction at Allen Solly,545.49,Clothing,Credit Card,Pune,Current,Debit,Mobile,INR,Retail,Yes,Monday,September,Morning
2025-01-08,Transaction at H&M,,Clothing,Credit Card,Pune,Salary,Debit,POS Terminal,INR,Retail,Yes,Wednesday,January,Night
2025-08-05,Transaction at Chai Point,981.12,Food,Net Banking,Mumbai,Current,Debit,Mobile,INR,Restaurant,No,Tuesday,August,Afternoon
2025-07-08,Transaction at Mi Store,,Electronics,UPI,Bangalore,Salary,Debit,Mobile,INR,Retail,Yes,Tuesday,July,Morning
2025-03-09,Transaction at Nature's Basket,525.86,Grocerie$,Net Banking,Chennai,Credit Card,Debit,POS Terminal,INR,Retail,Yes,Sunday,March,Morning
2025-02-14,Transaction at OnePlus,149197.11,Electronics,Debit Card,Kolkata,Salary,Debit,POS Terminal,INR,Retail,Yes,Friday,February,Morning
2025-12-29,Transaction at Water Board,1766.65,Biills,UPI,Hyderabad,Savings,Debit,Desktop,INR,Service,No,Monday,December,Evening
2025-10-25,Transaction at A2B,1268.04,Food,Credit Card,Chennai,Savings,Debit,POS Terminal,INR,Restaurant,Yes,Saturday,October,Evening
2025-11-10,Transaction at Flipkart,15804.76,Online Shopping,Net Banking,Mumbai,Salary,Debit,POS Terminal,INR,Online Store,Yes,Monday,November,Evening
2025-12-22,Transaction at Tata Cliq,709.77,Online Shopping,Debit Card,Pune,Savings,Debit,Mobile,INR,Online Store,No,Monday,December,Morning
2025-06-13,Transaction at Subway,525.91,Food,Net Banking,Pune,Savings,Debit,Desktop,INR,Restaurant,No,Friday,June,Morning
2025-09-07,Transaction at AirAsia,21491.65,Travell_err,UPI,Delhi,Salary,Debit,POS Terminal,INR,Service,No,Sunday,September,Morning
2025-11-12,Transaction at CloudNine,10150.1,Healthcare,UPI,Delhi,Current,Debit,Desktop,INR,Service,No,Wednesday,November,Night
2025-11-06,Transaction at Property Tax Online,599.75,Biills,Credit Card,Kolkata,Current,Debit,Mobile,INR,Service,No,Thursday,November,Afternoon
2025-12-19,Transaction at Netflix,890.56,Entertainment,UPI,Hyderabad,Savings,Debit,Desktop,INR,Subscription,No,Friday,December,Night
2025-05-21,Transaction at Yatra,24867.56,Travell_err,UPI,Delhi,Current,Debit,Desktop,INR,Service,No,Wednesday,May,Afternoon
2025-07-11,Transaction at Wrogn,7653.49,Clothing,Net Banking,Chennai,Savings,Debit,Mobile,INR,Retail,No,Friday,July,Night
2025-04-01,Transaction at A2B,1362.74,Food,Net Banking,Delhi,Current,Debit,POS Terminal,INR,Restaurant,No,Tuesday,April,Night
2025-01-06,Transaction at McDonalds,448.3,Food,UPI,Hyderabad,Credit Card,Debit,POS Terminal,INR,Restaurant,No,Monday,January,Night
2025-08-30,Transaction at Biba,4150.21,Clothing,UPI,Chennai,Credit Card,Debit,POS Terminal,INR,Retail,No,Saturday,August,Afternoon
2025-12-23,Transaction at Netflix,825.99,Entertainment,Debit Card,Pune,Current,Debit,Mobile,INR,Subscription,Yes,Tuesday,December,Night
